game_id,username,opponent,played_at,platform,color,result,opening,eco,game_duration,termination
eb87036c-c29a-11ee-aec6-6cfe544c0428,ahmedbdk,HousseMiladi,2024-02-03T13:56:49+00:00,chess.com,black,checkmated,,https://www.chess.com/openings/Scotch-Game,600,
1ed33952-c29c-11ee-aec6-6cfe544c0428,ahmedbdk,HousseMiladi,2024-02-03T14:09:07+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Kings-Pawn-Opening-Leonardis-Variation-2...Nf6-3.Nf3,600,
5c9a35d4-c364-11ee-aec6-6cfe544c0428,ahmedbdk,HousseMiladi,2024-02-04T14:06:14+00:00,chess.com,black,checkmated,,https://www.chess.com/openings/Ponziani-Opening-3...d6,600,
4e1f4881-c3af-11ee-aec6-6cfe544c0428,ahmedbdk,HousseMiladi,2024-02-04T22:50:34+00:00,chess.com,black,win,,https://www.chess.com/openings/Petrovs-Defense,600,
d0b12f0e-c3af-11ee-aec6-6cfe544c0428,ahmedbdk,HousseMiladi,2024-02-04T22:59:27+00:00,chess.com,white,checkmated,,https://www.chess.com/openings/Petrovs-Defense,600,
d62d3076-c444-11ee-8606-1622bd01000f,ahmedbdk,danyagggy,2024-02-05T16:53:06+00:00,chess.com,white,resigned,,https://www.chess.com/openings/Alekhines-Defense,600,
8d68ab33-c595-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T09:05:59+00:00,chess.com,white,abandoned,,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation,600,
093a0713-c599-11ee-8c6c-65ec0601000f,ahmedbdk,stilllearning81,2024-02-07T09:16:43+00:00,chess.com,white,win,,https://www.chess.com/openings/Kings-Pawn-Opening-St-George-Defense,600,
d092224f-c599-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T10:12:50+00:00,chess.com,white,agreed,,https://www.chess.com/openings/Pirc-Defense,600,
79f1cbab-c5a1-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T10:15:37+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Kings-Pawn-Opening-1...e5,600,
ef1437ae-c5a1-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T10:49:28+00:00,chess.com,black,stalemate,,https://www.chess.com/openings/Undefined,1800,
aec4915f-c5be-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T13:57:56+00:00,chess.com,black,win,,https://www.chess.com/openings/Reti-Opening-1...Nf6,600,
ffbd69c1-c5c0-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T14:35:53+00:00,chess.com,white,repetition,,https://www.chess.com/openings/Kings-Pawn-Opening-Kings-Knight-Variation,1800,
990ebba0-c5c6-11ee-aec6-6cfe544c0428,ahmedbdk,dalleji4real,2024-02-07T15:53:35+00:00,chess.com,black,resigned,,https://www.chess.com/openings/Reti-Opening-1...Nf6,1800,
